pm_id,store,unit_serial,batch,photos_removed,photos_remaining,removed_showing,removed_files,photos_after,corrected_pdf
465,Petsmart US #3052,M032630,July,1,1,11008872,Petsmart_US__3052_M032630_20260721_photo_1_1784659478082.jpg,Petsmart_US__3052_281232_20260721_photo_2_1784659161103.jpg,Petsmart_US__3052_M032630_20260721_1784659478082_CORRECTED_20260828.pdf
469,Walmart US #3140,302442,July,1,1,11008872,Walmart_US__3140_302442_20260721_photo_1_1784661958320.jpg,Walmart_US__3140_302442_20260721_photo_2_1784661958320.jpg,Walmart_US__3140_302442_20260721_1784661958320_CORRECTED_20260828.pdf
490,Food Maxx #456,10998996,July,1,2,11022907,Food_Maxx__456_10998996_20260722_photo_1_1784742974142.jpg,Foods_Co__339_11162239_20260722_photo_1_1784743370296.jpg|Food_Maxx__456_10998996_20260722_photo_2_1784742974142.jpg,Food_Maxx__456_10998996_20260722_1784742974142_CORRECTED_20260828.pdf
521,Petco #1338,5232171,July,1,1,11008876,Petco__1338_5232171_20260723_photo_2_1784776480796.jpg,Petco__1338_5232171_20260723_photo_1_1784776480796.jpg,Petco__1338_5232171_20260723_1784776480796_CORRECTED_20260828.pdf
523,Petco #1338,312894,July,1,1,10961123,Petco__1338_312894_20260723_photo_1_1784776674799.jpg,Petco__1338_312894_20260723_photo_2_1784776674799.jpg,Petco__1338_312894_20260723_1784776674799_CORRECTED_20260828.pdf
538,Save Mart #635,11157328,July,1,1,10874841,Save_Mart__635_11157328_20260723_photo_1_1784848005598.jpg,Save_Mart__635_11157328_20260723_photo_2_1784848005598.jpg,Save_Mart__635_11157328_20260723_1784848005598_CORRECTED_20260828.pdf
551,PetSmart US #81,246419,July,1,1,10961123,PetSmart_US__81_246419_20260724_photo_1_1784860505055.jpg,PetSmart_US__81_246419_20260724_photo_2_1784860505055.jpg,PetSmart_US__81_246419_20260724_1784860505055_CORRECTED_20260828.pdf
553,Save Mart #1,10567901,July,1,2,10961123,Save_Mart__1_10567901_20260724_photo_1_1784862556850.jpg,Save_Mart__49_11126733_20260724_photo_1_1784863758380.jpg|Save_Mart__1_10567901_20260724_photo_2_1784862556850.jpg,Save_Mart__1_10567901_20260724_1784862556850_CORRECTED_20260828.pdf
569,Walmart US #5710,10168520,July,1,1,10961123,Walmart_US__5710_10168520_20260729_photo_2_1785365647595.jpg,Walmart_US__5710_10168520_20260729_photo_1_1785365647595.jpg,Walmart_US__5710_10168520_20260729_1785365647595_CORRECTED_20260828.pdf
571,PetSmart US #1975,278048,July,1,2,10961123,PetSmart_US__1975_278048_20260729_photo_1_1785366534106.jpg,PetSmart_US__1975_272479_20260729_photo_1_1785364011679.jpg|PetSmart_US__1975_278048_20260729_photo_2_1785366534106.jpg,PetSmart_US__1975_278048_20260729_1785366534106_CORRECTED_20260828.pdf
572,Save Mart #95,10874883,July,1,2,10961123,Save_Mart__95_10874883_20260729_photo_2_1785366979433.jpg,Save_Mart__95_10377426_20260729_photo_3_1785365577795.jpg|Save_Mart__95_10874883_20260729_photo_1_1785366979433.jpg,Save_Mart__95_10874883_20260729_1785366979433_CORRECTED_20260828.pdf
573,Target #938,10571802,July,1,1,278022,Target__938_10571802_20260729_photo_2_1785367228856.jpg,Target__938_10571802_20260729_photo_1_1785367228856.jpg,Target__938_10571802_20260729_1785367228856_CORRECTED_20260828.pdf
575,Raley's #339,10114974,July,1,1,10961123,Raley_s__339_10114974_20260729_photo_1_1785367392435.jpg,Raley_s__339_10114974_20260729_photo_2_1785367392435.jpg,Raley_s__339_10114974_20260729_1785367392435_CORRECTED_20260828.pdf
584,Safeway Northern California #910,304967,July,1,2,304968,Safeway_Northern_California__9_304967_20260730_photo_2_1785439220111.jpg,Safeway_Northern_California__9_304967_20260730_photo_1_1785439220111.jpg|Safeway_Northern_California__9_304967_20260730_photo_3_1785439220111.jpg,Safeway_Northern_California__9_304967_20260730_1785439220111_CORRECTED_20260828.pdf
589,Lucky #750,80090400000116,July,1,1,278022,Lucky__750_80090400000116_20260730_photo_2_1785445183548.jpg,Lucky__750_80090400000116_20260730_photo_1_1785445183548.jpg,Lucky__750_80090400000116_20260730_1785445183548_CORRECTED_20260828.pdf
605,Safeway Northern California #1195,309097,July,1,1,305983,Safeway_Northern_California__1_309097_20260731_photo_1_1785458157526.jpg,Safeway_Northern_California__1_309097_20260731_photo_2_1785458157526.jpg,Safeway_Northern_California__1_309097_20260731_1785458157526_CORRECTED_20260828.pdf
609,PetSmart US #1418,207645,August,1,2,278046,PetSmart_US__1418_207645_20260821_photo_3_1787345535403.jpg,PetSmart_US__1418_207645_20260821_photo_1_1787345535403.jpg|PetSmart_US__1418_207645_20260821_photo_4_1787345535403.jpg,PetSmart_US__1418_207645_20260821_1787345535403_CORRECTED_20260828.pdf
610,PetSmart US #1418,278046,August,1,2,207645,PetSmart_US__1418_278046_20260821_photo_2_1787345581584.jpg,PetSmart_US__1418_272485_20260821_photo_1_1787346008249.jpg|PetSmart_US__1418_278046_20260821_photo_1_1787345581584.jpg,PetSmart_US__1418_278046_20260821_1787345581584_CORRECTED_20260828.pdf
614,Safeway Northern California #1476,305433,August,1,1,304910,Safeway_Northern_California__1_305433_20260821_photo_1_1787348044925.jpg,Safeway_Northern_California__1_305433_20260821_photo_2_1787348044925.jpg,Safeway_Northern_California__1_305433_20260821_1787348044925_CORRECTED_20260828.pdf
616,Safeway Northern California #2968,305003,August,1,2,305431,Safeway_Northern_California__2_305003_20260821_photo_2_1787350174417.jpg,Safeway_Northern_California__2_305003_20260821_photo_1_1787350174417.jpg|Safeway_Northern_California__2_305003_20260821_photo_3_1787350174417.jpg,Safeway_Northern_California__2_305003_20260821_1787350174417_CORRECTED_20260828.pdf
620,Safeway Northern California #1483,310795,August,2,2,263126|263125,Safeway_Northern_California__1_310795_20260821_photo_2_1787352715622.jpg|Safeway_Northern_California__1_310795_20260821_photo_3_1787352715622.jpg,Safeway_Northern_California__1_310795_20260821_photo_1_1787352715622.jpg|Safeway_Northern_California__1_310795_20260821_photo_4_1787352715622.jpg,Safeway_Northern_California__1_310795_20260821_1787352715622_CORRECTED_20260828.pdf
629,Target #2281,9407822,August,1,1,278022,Target__2281_9407822_20260823_photo_1_1787526595767.jpg,Target__2281_9407822_20260823_photo_2_1787526595767.jpg,Target__2281_9407822_20260823_1787526595767_CORRECTED_20260828.pdf
635,Safeway Northern California #1574,305005,August,1,2,10961123,Safeway_Northern_California__1_305005_20260824_photo_1_1787530410352.jpg,Safeway_Northern_California__1_308994_20260824_photo_1_1787530184366.jpg|Safeway_Northern_California__1_305005_20260824_photo_2_1787530410352.jpg,Safeway_Northern_California__1_305005_20260824_1787530410352_CORRECTED_20260828.pdf
647,Petco #271,227280,August,1,2,278022,Petco__271_227280_20260824_photo_2_1787538003273.jpg,Petco__271_226519_20260824_photo_1_1787537569581.jpg|Petco__271_227280_20260824_photo_1_1787538003273.jpg,Petco__271_227280_20260824_1787538003273_CORRECTED_20260828.pdf
651,Target #1427,9595032,August,1,1,11037160,Target__1427_9595032_20260824_photo_2_1787539895286.jpg,Target__1427_9595032_20260824_photo_1_1787539895286.jpg,Target__1427_9595032_20260824_1787539895286_CORRECTED_20260828.pdf
652,Walmart US #2486,297896,August,1,1,278022,Walmart_US__2486_297896_20260824_photo_1_1787539965335.jpg,Walmart_US__2486_297896_20260824_photo_2_1787539965335.jpg,Walmart_US__2486_297896_20260824_1787539965335_CORRECTED_20260828.pdf
654,Safeway Northern California #695,310796,August,1,2,10961123,Safeway_Northern_California__6_310796_20260824_photo_2_1787541841543.jpg,Safeway_Northern_California__6_311970_20260824_photo_1_1787541690216.jpg|Safeway_Northern_California__6_310796_20260824_photo_1_1787541841543.jpg,Safeway_Northern_California__6_310796_20260824_1787541841543_CORRECTED_20260828.pdf
659,Safeway Northern California #304,10282420,August,1,3,10633781,Safeway_Northern_California__3_10282420_20260824_photo_3_1787608411867.jpg,Safeway_Northern_California__3_10282420_20260824_photo_1_1787608411867.jpg|Safeway_Northern_California__3_10282420_20260824_photo_2_1787608411867.jpg|Safeway_Northern_California__3_10282420_20260824_photo_4_1787608411867.jpg,Safeway_Northern_California__3_10282420_20260824_1787608411867_CORRECTED_20260828.pdf
664,Whole Foods Market #10009-MLV,11054265,August,1,1,312231,Whole_Foods_Market__10009_MLV_11054265_20260825_photo_2_1787616666700.jpg,Whole_Foods_Market__10009_MLV_11054265_20260825_photo_1_1787616666700.jpg,Whole_Foods_Market__10009_MLV_11054265_20260825_1787616666700_CORRECTED_20260828.pdf
667,Woodlands Pet Food & Treats,5081238,August,1,1,312231,Woodlands_Pet_Food___Treats_5081238_20260825_photo_1_1787620291710.jpg,Woodlands_Pet_Food___Treats_5081238_20260825_photo_2_1787620291710.jpg,Woodlands_Pet_Food___Treats_5081238_20260825_1787620291710_CORRECTED_20260828.pdf
